num,yyyy,mm,dd,hh,min,QOBS_0001,QOSI_0001,QSIM_0001,QOBS_0002,QOSI_0002,QSIM_0002
85,2009,9,4,12,0,9.71,19.04,19.04,12.6,11.6,16.94
86,2009,9,4,13,0,8.84,21.48,21.48,13.6,10.72,19.8
87,2009,9,4,14,0,10.9,24.84,24.84,14.2,10.96,22.77
88,2009,9,4,15,0,13.3,29.44,29.44,15.8,12.52,26.49
89,2009,9,4,16,0,18.2,33.39,33.39,18.3,15.57,30.56
90,2009,9,4,17,0,16.4,34.81,34.81,19.9,17.32,33.62
91,2009,9,4,18,0,15,34.14,34.14,21.3,16.96,34.86
92,2009,9,4,19,0,16,32.96,32.96,20,16.81,34.69
93,2009,9,4,20,0,18.7,32.78,32.78,19,18.01,34.25
94,2009,9,4,21,0,17.2,34.36,34.36,20,18.64,34.65
95,2009,9,4,22,0,17.3,37.08,37.08,22,18.54,36.24
96,2009,9,4,23,0,22,39.64,39.64,21.5,20.3,38.53
97,2009,9,5,0,0,24.4,41.2,41.2,23.4,23.14,40.69
98,2009,9,5,1,0,22.8,41.36,41.36,27.7,24.3,42.02
99,2009,9,5,2,0,29.5,40.3,40.3,28.7,26.8,42.19
100,2009,9,5,3,0,25.4,38.57,38.57,30.2,27.99,41.35
101,2009,9,5,4,0,25.4,36.53,36.53,32.7,27.33,39.82
102,2009,9,5,5,0,22.9,34.41,34.41,29.9,26.14,37.91
103,2009,9,5,6,0,21,32.38,32.38,28.8,24.32,35.88
104,2009,9,5,7,0,22.5,30.49,30.49,26.3,23.67,33.87
105,2009,9,5,8,0,25.9,28.76,28.76,24.7,25.06,31.97
106,2009,9,5,9,0,25.6,27.22,27.22,26.4,26.33,30.23
107,2009,9,5,10,0,23.2,25.87,25.87,27.8,25.83,28.67
108,2009,9,5,11,0,18.3,24.74,24.74,27.2,23.19,27.31
109,2009,9,5,12,0,17.3,23.81,23.81,24.8,20.55,26.17
110,2009,9,5,13,0,16.3,23.08,23.08,21.5,18.94,25.22
111,2009,9,5,14,0,11.9,22.49,22.49,20.4,16.46,24.46
112,2009,9,5,15,0,15.3,22,22,19.4,15.63,23.84
113,2009,9,5,16,0,17.7,21.54,21.54,16.7,17.1,23.31
114,2009,9,5,17,0,22,21.07,21.07,18.4,19.86,22.81
115,2009,9,5,18,0,22.4,20.57,20.57,20.6,22.15,22.32
116,2009,9,5,19,0,22,20.01,20.01,23.1,22.95,21.79
117,2009,9,5,20,0,21.9,19.43,19.43,23.5,23.1,21.24
118,2009,9,5,21,0,21.8,18.85,18.85,23.5,23.08,20.66
119,2009,9,5,22,0,21.7,18.28,18.28,23.2,23.01,20.09
120,2009,9,5,23,0,21.5,17.74,17.74,23.1,22.89,19.52
121,2009,9,6,0,0,20.5,17.21,17.21,23.1,22.42,18.97
122,2009,9,6,1,0,14.8,16.71,16.71,22.6,19.88,18.45
123,2009,9,6,2,0,12.5,16.25,16.25,21.3,16.59,17.95
124,2009,9,6,3,0,10.9,15.82,15.82,17.7,14.19,17.49
125,2009,9,6,4,0,9,15.43,15.43,15.6,12.18,17.06
126,2009,9,6,5,0,8.38,15.07,15.07,14.2,10.71,16.67
127,2009,9,6,6,0,8.29,14.75,14.75,12.9,9.98,16.31
128,2009,9,6,7,0,9.55,14.48,14.48,12,10.14,16
129,2009,9,6,8,0,10.1,14.23,14.23,11.8,10.74,15.71
130,2009,9,6,9,0,16.6,14.02,14.02,12.4,13.5,15.47
131,2009,9,6,10,0,18.9,13.84,13.84,13.3,17.08,15.26
132,2009,9,6,11,0,18.8,13.7,13.7,17.5,18.96,15.08
133,2009,9,6,12,0,18.5,13.6,13.6,19.5,19.52,14.94
134,2009,9,6,13,0,18.5,13.54,13.54,19.6,19.65,14.84
135,2009,9,6,14,0,17.3,13.51,13.51,19.5,19.25,14.78
136,2009,9,6,15,0,14.3,13.51,13.51,19.4,17.69,14.75
137,2009,9,6,16,0,14,13.5,13.5,18.5,16.21,14.74
138,2009,9,6,17,0,16,13.48,13.48,16.7,16.32,14.72
139,2009,9,6,18,0,18.7,13.41,13.41,16.1,17.89,14.68
140,2009,9,6,19,0,15.6,13.28,13.28,17.5,18.04,14.6
141,2009,9,6,20,0,12.9,13.1,13.1,18.9,16.28,14.47
142,2009,9,6,21,0,12.6,12.89,12.89,17.4,14.81,14.3
143,2009,9,6,22,0,12.3,12.68,12.68,15.3,14.08,14.11
144,2009,9,6,23,0,10.3,12.48,12.48,14.9,13,13.91
145,2009,9,7,0,0,7.73,12.29,12.29,14.6,11.12,13.71
146,2009,9,7,1,0,7.16,12.1,12.1,13.3,9.55,13.52
147,2009,9,7,2,0,7.02,11.93,11.93,11.3,8.76,13.34
148,2009,9,7,3,0,7.02,11.76,11.76,10.4,8.44,13.16
149,2009,9,7,4,0,6.96,11.6,11.6,10.1,8.3,13
150,2009,9,7,5,0,6.88,11.45,11.45,9.98,8.2,12.84
151,2009,9,7,6,0,6.75,11.31,11.31,9.88,8.1,12.69
152,2009,9,7,7,0,6.64,11.19,11.19,9.77,7.98,12.55
153,2009,9,7,8,0,6.69,11.11,11.11,9.67,7.93,12.44
154,2009,9,7,9,0,10.8,11.11,11.11,9.57,9.44,12.38
155,2009,9,7,10,0,10.1,11.17,11.17,9.47,10.82,12.38
156,2009,9,7,11,0,10.3,11.27,11.27,11.5,11.22,12.43
157,2009,9,7,12,0,13.9,11.41,11.41,12.4,12.74,12.53
158,2009,9,7,13,0,12.4,11.6,11.6,12.4,13.7,12.67
159,2009,9,7,14,0,10.4,11.79,11.79,14.8,12.92,12.84
160,2009,9,7,15,0,9.98,11.98,11.98,14.2,11.95,13.03
161,2009,9,7,16,0,10.9,12.12,12.12,13,11.82,13.2
162,2009,9,7,17,0,12.2,12.21,12.21,12.4,12.5,13.33
163,2009,9,7,18,0,12.5,12.24,12.24,12.7,13.2,13.41
164,2009,9,7,19,0,12.4,12.19,12.19,13.9,13.5,13.43
165,2009,9,7,20,0,12.2,12.09,12.09,14,13.51,13.39
166,2009,9,7,21,0,11.8,11.96,11.96,14.1,13.31,13.3
167,2009,9,7,22,0,9.67,11.8,11.8,13.9,12.35,13.18
168,2009,9,7,23,0,8.07,11.63,11.63,13.6,10.85,13.02
169,2009,9,8,0,0,7.77,11.44,11.44,12.5,9.76,12.85
170,2009,9,8,1,0,7.77,11.25,11.25,11,9.28,12.67
171,2009,9,8,2,0,7.77,11.06,11.06,10.4,9.11,12.48
172,2009,9,8,3,0,7.77,10.87,10.87,10.1,9.04,12.29
173,2009,9,8,4,0,7.7,10.69,10.69,10.1,8.99,12.11
174,2009,9,8,5,0,7.2,10.53,10.53,10,8.77,11.93
175,2009,9,8,6,0,6.22,10.38,10.38,9.95,8.2,11.77
176,2009,9,8,7,0,6.45,10.25,10.25,9.81,7.81,11.62
177,2009,9,8,8,0,14.4,10.17,10.17,9.25,10.65,11.5
178,2009,9,8,9,0,16.6,10.12,10.12,8.72,14.61,11.42
179,2009,9,8,10,0,16.8,10.09,10.09,13.5,16.72,11.36
180,2009,9,8,11,0,16.9,10.08,10.08,16.6,17.59,11.33
181,2009,9,8,12,0,16.4,10.1,10.1,17.1,17.75,11.33
182,2009,9,8,13,0,13.6,10.16,10.16,17.1,16.64,11.35
183,2009,9,8,14,0,12.4,10.23,10.23,16.7,15.05,11.4
184,2009,9,8,15,0,10.6,10.32,10.32,15.2,13.49,11.47
185,2009,9,8,16,0,9,10.38,10.38,13.9,11.85,11.54
186,2009,9,8,17,0,10.8,10.39,10.39,13,11.49,11.59
187,2009,9,8,18,0,12.9,10.35,10.35,11.7,12.6,11.59
188,2009,9,8,19,0,13.1,10.26,10.26,12,13.64,11.55
189,2009,9,8,20,0,14,10.14,10.14,13.8,14.4,11.47
190,2009,9,8,21,0,12.5,10.01,10.01,14.3,14.37,11.36
191,2009,9,8,22,0,8.62,9.86,9.86,14.8,12.54,11.22
192,2009,9,8,23,0,6.35,9.71,9.71,14,10,11.08
193,2009,9,9,0,0,6.05,9.56,9.56,11.9,8.36,10.93
194,2009,9,9,1,0,5.99,9.42,9.42,9.73,7.65,10.79
195,2009,9,9,2,0,5.94,9.27,9.27,8.89,7.36,10.64
196,2009,9,9,3,0,5.88,9.13,9.13,8.55,7.21,10.5
197,2009,9,9,4,0,5.83,9,9,8.25,7.12,10.36
198,2009,9,9,5,0,5.77,8.87,8.87,8.2,7.06,10.22
199,2009,9,9,6,0,5.72,8.75,8.75,8.2,7,10.1
200,2009,9,9,7,0,6.08,8.65,8.65,8.2,7.09,9.98
201,2009,9,9,8,0,9.11,8.57,8.57,8.2,8.34,9.88
202,2009,9,9,9,0,9.11,8.51,8.51,8.2,9.6,9.8
203,2009,9,9,10,0,12.6,8.47,8.47,9.72,11.34,9.74
204,2009,9,9,11,0,15.8,8.45,8.45,10.8,14.08,9.7
205,2009,9,9,12,0,15.3,8.44,8.44,13,15.75,9.67
206,2009,9,9,13,0,13,8.44,8.44,15.7,15.39,9.66
207,2009,9,9,14,0,12.1,8.45,8.45,15.4,14.31,9.66
208,2009,9,9,15,0,10.3,8.45,8.45,14.2,13.02,9.66
209,2009,9,9,16,0,8.77,8.45,8.45,13.3,11.5,9.66
210,2009,9,9,17,0,10.9,8.43,8.43,12.5,11.33,9.65
211,2009,9,9,18,0,10.5,8.39,8.39,11.2,11.67,9.63
212,2009,9,9,19,0,9.46,8.34,8.34,12,11.31,9.59
213,2009,9,9,20,0,9.13,8.27,8.27,12.2,10.79,9.54
214,2009,9,9,21,0,9.11,8.19,8.19,11.4,10.5,9.47
215,2009,9,9,22,0,9.11,8.11,8.11,10.9,10.38,9.39
216,2009,9,9,23,0,9.74,8.02,8.02,10.9,10.57,9.31
217,2009,9,10,0,0,6.81,7.93,7.93,10.9,9.73,9.22
218,2009,9,10,1,0,6.09,7.84,7.84,11,8.38,9.13
219,2009,9,10,2,0,5.69,7.76,7.76,9.86,7.55,9.05
220,2009,9,10,3,0,5.61,7.67,7.67,8.62,7.1,8.96
221,2009,9,10,4,0,5.58,7.59,7.59,8.31,6.91,8.87
222,2009,9,10,5,0,5.56,7.51,7.51,8.05,6.82,8.79
223,2009,9,10,6,0,5.53,7.43,7.43,7.78,6.77,8.71
224,2009,9,10,7,0,5.5,7.36,7.36,7.54,6.73,8.63
225,2009,9,10,8,0,5.47,7.31,7.31,7.46,6.7,8.57
226,2009,9,10,9,0,5.55,7.26,7.26,7.41,6.71,8.51
